 Venezuela,0.01,1, Gibraltar,100,5,Mali,56,1,Rank,Country,2016 EPI Score,, ,Education,EduRank,inovation,InoRank,Infrastructure,InfaRank,ICT access,ICTRank
 Antigua and Barbuda,3.68,4, Uganda,8.09,1,Romania,1,3,69,Kazakhstan,73.29,4,Slovenia,16,5,32,4,34,4,26,4
 Morocco,3.75,4, Algeria,7,1,Trinidad and Tobago,1,3,68,Belize,73.55,4,Croatia,15,5,41,4,33,4,36,4
 Lithuania,4.05,4, Argentina,6.52,1,Turkmenistan,0,3,67,Mexico,73.59,4,Norway,14,5,19,5,1,5,21,5
 Ecuador,4.08,4, Russia,5.48,1,Andorra,0,3,66,Philippines,73.7,4,New Zealand,13,5,21,5,22,5,17,5
 Latvia,4.27,4, Brazil,5,1,Antigua and Barbuda,0,3,65,Uruguay,73.98,4,Belarus,12,5,88,2,67,3,32,4
 Saint Kitts and Nevis,4.28,4, Myanmar,4.45,1,Australia,0,3,64,Morocco,74.18,4,Iceland,11,5,13,5,25,5,2,5
 Iran,4.35,4, Swaziland,4.38,1,Austria,0,3,63,Malaysia,74.23,4,Sweden,10,5,2,5,3,5,13,5
 Estonia,4.41,4, Colombia,4.22,1,Bahamas,0,3,62,Trinidad and Tobago,74.34,4,Botswana,9,5,89,2,83,2,96,2
 The Bahamas,4.54,4, Malawi,3.88,1,Belgium,0,3,61,Albania,74.38,4,China,8,5,22,5,27,4,77,3
 Libya,4.55,4, The Gambia,2.34,1,Brunei Darussalam,0,3,60,Taiwan,74.88,4,Malta,7,5,26,5,23,5,6,5
 Romania,4.74,4, China,1,1,Bulgaria,0,3,59,Fiji,75.29,4,Belgium,6,5,27,4,32,4,16,5
,,,,,,,,,58,Dominican Republic,75.32,4,Finland,5,5,8,5,8,5,33,4
,,,,,,,,,57,Colombia,75.93,4,Denmark,4,5,6,5,15,5,14,5
,,,,,,,,,56,Venezuela,76.23,4,United Arab Emirates,3,5,35,4,29,4,23,5
,,,,,,,,,55,Moldova,76.69,4,Greece,2,5,44,4,58,3,31,4
,,,,,,,,,54,Jamaica,77.02,4,Bosnia and Herzegovina,1,5,86,2,96,2,74,3
,,,,,,,,,53,Tunisia,77.28,4,,,,,,,,,
,,,,,,,,,52,Chile,77.67,4,,,,,,,,,
,,,,,,,,,51,Panama,78,4,,,,,,,,,
,,,,,,,,,50,Macedonia,78.02,4,,,,,,,,,
,,,,,,,,,49,Israel,78.14,4,,,,,,,,,
,,,,,,,,,48,Serbia,78.67,4,,,,,,,,,
,,,,,,,,,47,Montenegro,78.89,4,,,,,,,,,
,,,,,,,,,46,Brazil,78.9,4,,,,,,,,,
,,,,,,,,,45,Cuba,79.04,4,,,,,,,,,
,,,,,,,,,44,Ukraine,79.69,4,,,,,,,,,
,,,,,,,,,43,Argentina,79.84,4,,,,,,,,,
,,,,,,,,,42,Costa Rica,80.03,4,,,,,,,,,
,,,,,,,,,41,Belgium,80.15,4,,,,,,,,,
,,,,,,,,,40,Cyprus,80.24,4,,,,,,,,,
,,,,,,,,,39,Japan,80.59,4,,,,,,,,,
,,,,,,,,,38,Poland,81.26,4,,,,,,,,,
,,,,,,,,,37,Armenia,81.6,4,,,,,,,,,
,,,,,,,,,36,Netherlands,82.03,5,,,,,,,,,
,,,,,,,,,35,Belarus,82.3,5,,,,,,,,,
,,,,,,,,,34,Romania,83.24,5,,,,,,,,,
,,,,,,,,,33,Bulgaria,83.4,5,,,,,,,,,
,,,,,,,,,32,Russia,83.52,5,,,,,,,,,
,,,,,,,,,31,Azerbaijan,83.78,5,,,,,,,,,
,,,,,,,,,30,Germany,84.26,5,,,,,,,,,
,,,,,,,,,29,Italy,84.48,5,,,,,,,,,
,,,,,,,,,28,Hungary,84.6,5,,,,,,,,,
,,,,,,,,,27,Czech Republic,84.67,5,,,,,,,,,
,,,,,,,,,26,United States of America,84.72,5,,,,,,,,,
,,,,,,,,,25,Canada,85.06,5,,,,,,,,,
,,,,,,,,,24,Slovakia,85.42,5,,,,,,,,,
,,,,,,,,,23,Lithuania,85.49,5,,,,,,,,,
,,,,,,,,,22,Latvia,85.71,5,,,,,,,,,
,,,,,,,,,21,Greece,85.81,5,,,,,,,,,
,,,,,,,,,20,Luxembourg,86.58,5,,,,,,,,,
,,,,,,,,,19,Ireland,86.6,5,,,,,,,,,
,,,,,,,,,18,Austria,86.64,5,,,,,,,,,
,,,,,,,,,17,Norway,86.9,5,,,,,,,,,
,,,,,,,,,16,Switzerland,86.93,5,,,,,,,,,
,,,,,,,,,15,Croatia,86.98,5,,,,,,,,,
,,,,,,,,,14,Singapore,87.04,5,,,,,,,,,
,,,,,,,,,13,Australia,87.22,5,,,,,,,,,
,,,,,,,,,12,United Kingdom,87.38,5,,,,,,,,,
,,,,,,,,,11,New Zealand,88,5,,,,,,,,,
,,,,,,,,,10,France,88.2,5,,,,,,,,,
,,,,,,,,,9,Malta,88.48,5,,,,,,,,,
,,,,,,,,,8,Estonia,88.59,5,,,,,,,,,
,,,,,,,,,7,Portugal,88.63,5,,,,,,,,,
,,,,,,,,,6,Spain,88.91,5,,,,,,,,,
,,,,,,,,,5,Slovenia,88.98,5,,,,,,,,,
,,,,,,,,,4,Denmark,89.21,5,,,,,,,,,
,,,,,,,,,3,Sweden,90.43,5,,,,,,,,,
,,,,,,,,,2,Iceland,90.51,5,,,,,,,,,
,,,,,,,,,1,Finland,90.68,5,,,,,,,,,
